matchup,id
"West Ham United - Manchester United, 0 - 0",2500028
"Manchester City - Huddersfield Town, 0 - 0",2500085
"Burnley - Brighton & Hove Albion, 0 - 0",2500069
"Liverpool - Stoke City, 0 - 0",2500072
"Watford - Crystal Palace, 0 - 0",2500067
"Leicester City - Southampton, 0 - 0",2500064
"Everton - Liverpool, 0 - 0",2500043
"Huddersfield Town - Swansea City, 0 - 0",2500013
"Southampton - Stoke City, 0 - 0",2500005
"Stoke City - Watford, 0 - 0",2499967
"Chelsea - Leicester City, 0 - 0",2499940
"Crystal Palace - Manchester City, 0 - 0",2499921
"Manchester United - Southampton, 0 - 0",2499924
"Huddersfield Town - Burnley, 0 - 0",2499922
"Newcastle United - Brighton & Hove Albion, 0 - 0",2499925
"West Bromwich Albion - Everton, 0 - 0",2499918
"Everton - Chelsea, 0 - 0",2499902
"Brighton & Hove Albion - Burnley, 0 - 0",2499891
"West Ham United - Arsenal, 0 - 0",2499882
"Liverpool - West Bromwich Albion, 0 - 0",2499887
"West Bromwich Albion - Crystal Palace, 0 - 0",2499868
"Brighton & Hove Albion - Crystal Palace, 0 - 0",2499851
"Swansea City - AFC Bournemouth, 0 - 0",2499846
"Liverpool - Manchester United, 0 - 0",2499793
"AFC Bournemouth - Leicester City, 0 - 0",2499779
"Burnley - Huddersfield Town, 0 - 0",2499771
"Chelsea - Arsenal, 0 - 0",2499760
"Tottenham Hotspur - Swansea City, 0 - 0",2499766
"West Bromwich Albion - West Ham United, 0 - 0",2499768
"Huddersfield Town - Southampton, 0 - 0",2499742
"Watford - Brighton & Hove Albion, 0 - 0",2499747
"Southampton - Swansea City, 0 - 0",2499726
